PASSED,2
PASSED,-9
PASSED,14
PASSED,-14
PASSED,Number 2 is not a number
PASSED,Number 2 is not a number
PASSED,Number 1 is not a number
PASSED,Number 1 is not a number
PASSED,44382
PASSED,46850
PASSED,4515975844
PASSED,-501844423
PASSED,-3.9
PASSED,-3
PASSED,2
PASSED,-9
PASSED,14
PASSED,-14
FAILED,NaN
FAILED,NaN
FAILED,NaN
FAILED,NaN
PASSED,44382
PASSED,46850
PASSED,4515975844
PASSED,-501844423
PASSED,-3.9
PASSED,-3
PASSED,2
PASSED,-9
PASSED,14
PASSED,-14
PASSED,Number 2 is not a number
PASSED,Number 2 is not a number
PASSED,Number 1 is not a number
PASSED,Number 1 is not a number
PASSED,44382
PASSED,46850
PASSED,4515975844
PASSED,-501844423
PASSED,-3.9
PASSED,-3
PASSED,2
PASSED,-9
PASSED,14
PASSED,-14
PASSED,Number 2 is not a number
PASSED,Number 2 is not a number
PASSED,Number 1 is not a number
PASSED,Number 1 is not a number
PASSED,44382
PASSED,46850
PASSED,4515975844
PASSED,-501844423
PASSED,-3.9
PASSED,-3
PASSED,2
PASSED,-9
PASSED,14
PASSED,-14
PASSED,Number 2 is not a number
PASSED,Number 2 is not a number
PASSED,Number 1 is not a number
PASSED,Number 1 is not a number
PASSED,44382
PASSED,46850
PASSED,4515975844
PASSED,-501844423
PASSED,-3.9
FAILED,-3.9
PASSED,2
PASSED,-9
PASSED,14
PASSED,-14
PASSED,Number 2 is not a number
PASSED,Number 2 is not a number
PASSED,Number 1 is not a number
PASSED,Number 1 is not a number
PASSED,44382
PASSED,46850
PASSED,4515975844
PASSED,-501844423
PASSED,-3.9
PASSED,-3
